"Campaign";"Treatment";"Block";"Plot";"Point";"Layer";"Upper_cm";"Lower_cm";"Upper";"Lower";"Point_ID";"Soil_mass_cum";"SOC_stock_cum_FD";"Soil_mass";"SOC_stock_FD";"SOC_g_kg"
"Year_0";"T1";"B1";"P01";"i1";1;0;-10;0;100;"Year_0_P01_i1";1380;15.1933924815451;1380;15.1933924815451;11.0097046967718
"Year_0";"T1";"B1";"P01";"i1";2;-10;-20;100;200;"Year_0_P01_i1";2760;27.9445924815451;1380;12.7512;9.24
"Year_0";"T1";"B1";"P01";"i1";3;-20;-35;200;350;"Year_0_P01_i1";4900;44.1685526498292;2140;16.2239601682842;7.58128979826363
"Year_0";"T1";"B1";"P01";"i1";4;-35;-40;350;400;"Year_0_P01_i1";5640;47.5215013253699;740;3.35294867554068;4.53101172370362
"Year_0";"T1";"B1";"P01";"i1";5;-40;-60;400;600;"Year_0_P01_i1";8600;58.8406155533435;2960;11.3191142279736;3.82402507701811
"Year_0";"T1";"B2";"P02";"i3";1;0;-10;0;100;"Year_0_P02_i3";1380;15.4077962464791;1380;15.4077962464791;11.1650697438254
"Year_0";"T1";"B2";"P02";"i3";2;-10;-20;100;200;"Year_0_P02_i3";2760;30.2363338837138;1380;14.8285376372347;10.745317128431
"Year_0";"T1";"B2";"P02";"i3";3;-20;-35;200;350;"Year_0_P02_i3";4900;51.4897572955019;2140;21.2534234117881;9.9315062671907
"Year_0";"T1";"B2";"P02";"i3";4;-35;-40;350;400;"Year_0_P02_i3";5640;54.4161587817537;740;2.92640148625181;3.95459660304299
"Year_0";"T1";"B2";"P02";"i3";5;-40;-60;400;600;"Year_0_P02_i3";8600;65.0072866883701;2960;10.5911279066164;3.57808375223525
"Year_0";"T2";"B1";"P03";"i5";1;0;-10;0;100;"Year_0_P03_i5";1380;14.0635242618;1380;14.0635242618;10.19095961
"Year_0";"T2";"B1";"P03";"i5";2;-10;-20;100;200;"Year_0_P03_i5";2760;28.1270485236;1380;14.0635242618;10.19095961
"Year_0";"T2";"B1";"P03";"i5";3;-20;-35;200;350;"Year_0_P03_i5";4900;45.0304185706;2140;16.903370047;7.89877105
"Year_0";"T2";"B1";"P03";"i5";4;-35;-40;350;400;"Year_0_P03_i5";5640;48.1226943809;740;3.0922758103;4.178751095
"Year_0";"T2";"B1";"P03";"i5";5;-40;-60;400;600;"Year_0_P03_i5";8600;58.9794050101;2960;10.8567106292;3.667807645
"Year_0";"T2";"B1";"P03";"i6";1;0;-10;0;100;"Year_0_P03_i6";1380;14.124661491;1380;14.124661491;10.23526195
"Year_0";"T2";"B1";"P03";"i6";2;-10;-20;100;200;"Year_0_P03_i6";2760;28.249322982;1380;14.124661491;10.23526195
"Year_0";"T2";"B1";"P03";"i6";3;-20;-35;200;350;"Year_0_P03_i6";4900;46.89585161304;2140;18.64652863104;8.713331136
"Year_0";"T2";"B1";"P03";"i6";4;-35;-40;350;400;"Year_0_P03_i6";5640;50.80025616018;740;3.90440454714;5.276222361
"Year_0";"T2";"B1";"P03";"i6";5;-40;-60;400;600;"Year_0_P03_i6";8600;63.57836332434;2960;12.77810716416;4.316928096
"Year_0";"T2";"B2";"P04";"i7";1;0;-10;0;100;"Year_0_P04_i7";1380;14.0997537606;1380;14.0997537606;10.21721287
"Year_0";"T2";"B2";"P04";"i7";2;-10;-20;100;200;"Year_0_P04_i7";2760;28.1995075212;1380;14.0997537606;10.21721287
"Year_0";"T2";"B2";"P04";"i7";3;-20;-35;200;350;"Year_0_P04_i7";4900;48.05144416004;2140;19.85193663884;9.276605906
"Year_0";"T2";"B2";"P04";"i7";4;-35;-40;350;400;"Year_0_P04_i7";5640;51.07378740032;740;3.02234324028;4.084247622
"Year_0";"T2";"B2";"P04";"i7";5;-40;-60;400;600;"Year_0_P04_i7";8600;60.5853102616;2960;9.51152286128;3.213352318
"Year_0";"T2";"B2";"P04";"i8";1;0;-10;0;100;"Year_0_P04_i8";1380;15.4473613932;1380;15.4473613932;11.19374014
"Year_0";"T2";"B2";"P04";"i8";2;-10;-20;100;200;"Year_0_P04_i8";2760;30.8947227864;1380;15.4473613932;11.19374014
"Year_0";"T2";"B2";"P04";"i8";3;-20;-35;200;350;"Year_0_P04_i8";4900;53.9902139704;2140;23.095491184;10.7922856
"Year_0";"T2";"B2";"P04";"i8";4;-35;-40;350;400;"Year_0_P04_i8";5640;60.6042718474;740;6.614057877;8.93791605
"Year_0";"T2";"B2";"P04";"i8";5;-40;-60;400;600;"Year_0_P04_i8";8600;70.99043548572;2960;10.38616363832;3.508839067
"Year_x";"T1";"B1";"P01";"i1";1;0;-10;0;100;"Year_x_P01_i1";1492.05;15.3073318671;1492.05;15.3073318671;10.259262
"Year_x";"T1";"B1";"P01";"i1";2;-10;-20;100;200;"Year_x_P01_i1";2922.2;30.25921288773;1430.15;14.95188102063;10.4547642
"Year_x";"T1";"B1";"P01";"i1";3;-20;-35;200;350;"Year_x_P01_i1";5073.05;47.600326286391;2150.85;17.341113398661;8.06244666
"Year_x";"T1";"B1";"P01";"i1";4;-35;-40;350;400;"Year_x_P01_i1";5837.85;52.8348733089318;764.8;5.2345470225408;6.844334496
"Year_x";"T1";"B1";"P01";"i1";5;-40;-60;400;600;"Year_x_P01_i1";8798.683334;64.2982109853963;2960.833334;11.4633376764644;3.87165922
"Year_x";"T1";"B2";"P02";"i3";1;0;-10;0;100;"Year_x_P02_i3";1391.15;13.728776287074;1391.15;13.728776287074;9.86865276
"Year_x";"T1";"B2";"P02";"i3";2;-10;-20;100;200;"Year_x_P02_i3";2906;29.4456674728965;1514.85;15.7168911858225;10.37521285
"Year_x";"T1";"B2";"P02";"i3";3;-20;-35;200;350;"Year_x_P02_i3";5199.25;46.415917173693;2293.25;16.9702497007965;7.400087082
"Year_x";"T1";"B2";"P02";"i3";4;-35;-40;350;400;"Year_x_P02_i3";5869.2;49.9954517076036;669.95;3.57953453391065;5.342987587
"Year_x";"T1";"B2";"P02";"i3";5;-40;-60;400;600;"Year_x_P02_i3";8830.033334;62.8480720658984;2960.833334;12.8526203582948;4.340879377
"Year_x";"T2";"B1";"P03";"i5";1;0;-10;0;100;"Year_x_P03_i5";1453.65;16.9458180462615;1453.65;16.9458180462615;11.65742651
"Year_x";"T2";"B1";"P03";"i5";2;-10;-20;100;200;"Year_x_P03_i5";2948.226071375;31.9631261790632;1494.576071375;15.0173081328017;10.04787138
